club,sofifa_id,short_name,age,dob,height_cm,weight_kg
Viktoria Plzeň,181123,T. Hořava,31,1988-05-29,181,68
Çaykur Rizespor,181236,Fernando Boldrin,30,1989-02-23,181,75
Stade Rennais FC,181383,J. Johansson,29,1990-06-21,187,86
Portland Timbers,181404,L. Mabiala,31,1987-10-08,189,84
Malmö FF,181445,R. Bengtsson,33,1986-06-26,186,80
Olympiacos CFP,181459,V. Torosidis,34,1985-06-10,183,82
Olympique Lyonnais,181560,M. Yanga-Mbiwa,30,1989-05-15,184,77
Vitesse,181780,T. Matavž,30,1989-01-13,188,81
Russia,181795,F. Kudryashov,32,1987-04-05,181,81
Viktoria Plzeň,182959,A. Hruška,33,1985-11-23,192,88
FC Basel 1893,183187,V. Stocker,30,1989-04-12,179,73
CFR Cluj,183254,Paulo Vinícius,34,1984-08-12,187,86
Granada CF,183353,Víctor Díaz,31,1988-06-12,184,72
Middlesbrough,183422,J. Howson,31,1988-05-21,180,77
CA Osasuna,183520,Fran Mérida,29,1990-03-04,177,74
Guadalajara,183581,J. Molina,31,1988-03-29,186,77
FK Austria Wien,183644,A. Grünwald,30,1989-05-01,188,84
Wolverhampton Wanderers,183774,R. Bennett,29,1990-03-06,188,78
1. FC Nürnberg,183795,G. Margreitter,30,1988-11-07,186,85
LOSC Lille,183916,J. Pied,30,1989-02-23,173,73
Yeni Malatyaspor,183936,M. Donald,30,1988-12-10,183,75
Gazişehir Gaziantep F.K.,183975,J. Kana-Biyik,29,1989-07-03,184,86
Os Belenenses,184031,Licá,30,1988-09-08,181,70
Göztepe SK,184133,Castro,31,1988-04-02,181,75
Sheffield United,184274,C. Basham,30,1988-07-20,190,80
Alanyaspor,184823,Djalma,32,1987-05-30,179,78
Lecce,185163,L. Rossettini,34,1985-05-09,187,82
Pescara,185172,V. Fiorillo,29,1990-01-13,190,79
Rosario Central,185199,S. Ribas,31,1988-03-11,189,80
Antalyaspor,185204,Diego Ângelo,33,1986-02-17,192,84
Amiens SC,186197,G. Kakuta,28,1991-06-21,173,64
Feyenoord,186351,L. Fer,29,1990-01-05,188,79
Crystal Palace,186392,J. Ward,29,1989-10-29,188,83
UD Almería,186511,René,35,1983-12-15,183,79
Cádiz CF,186519,Juan Cala,29,1989-11-26,185,78
Hellas Verona,186614,S. Di Carmine,30,1988-09-29,187,78
Fulham,187043,S. Johansen,28,1991-01-08,182,78
Club Atlético Talleres,187075,D. Moreno,33,1985-09-16,177,79
Standard de Liège,187858,P. Mpoku,27,1992-04-19,180,79
Göztepe SK,188370,Wallace,31,1987-12-26,184,76
En Avant de Guingamp,188397,R. Rodelin,29,1989-11-18,192,82
Málaga CF,188554,Dani Pacheco,28,1991-01-05,168,65
Deportivo Toluca,188607,R. Salinas,31,1988-05-09,179,74
FC Basel 1893,188768,Serey Dié,34,1984-11-07,179,77
Club Atlético Colón,188992,M. Estigarribia,31,1987-09-21,181,74
West Bromwich Albion,189059,J. Livermore,29,1989-11-14,180,74
Aston Villa,189099,J. Kodjia,29,1989-10-22,189,77
Iceland,189167,A. Gunnarsson,30,1989-04-22,178,86
FC Augsburg,189196,Caiuby,30,1988-07-14,184,85
Real Oviedo,189211,Saúl Berjón,33,1986-05-24,178,85
AEK Athens,189303,Nélson Oliveira,27,1991-08-08,186,82
Monterrey,189338,J. Urretaviscaya,29,1990-03-19,172,66
Gençlerbirliği SK,189468,Daniel Candeias,31,1988-02-25,177,78
Denizlispor,189491,O. Şahan,32,1987-05-26,179,71
Viktoria Plzeň,189650,J. Kovařík,31,1988-06-19,182,81
Ettifaq FC,189819,Rogerinho,32,1987-03-20,176,70
SK Brann,189899,V. Wormgoor,30,1988-11-16,188,81
Angers SCO,189946,V. Manceau,29,1989-07-10,176,70
CA Osasuna,190432,Oier,33,1986-05-25,178,72
Iceland,190461,B. Sigurðarson,28,1991-02-26,185,86
AEK Athens,190501,N. Krstičić,28,1990-07-03,180,73
Getafe CF,190507,Etxeita,31,1987-10-31,186,78
Seattle Sounders FC,190569,S. Frei,33,1986-04-20,191,88
Deportivo Toluca,190636,A. Ríos,30,1988-10-24,172,75
Göztepe SK,190748,Y. Öztekin,32,1987-03-19,179,70
FC Metz,190870,J. Boye,32,1987-04-23,184,73
Brøndby IF,190915,K. Wilczek,31,1988-01-14,185,83
Al Ahli,190931,E. Zukanović,32,1987-02-11,190,85
Racing Club,191488,L. Orbán,30,1989-02-03,179,79
Atlético Nacional,191856,H. Barcos,35,1984-04-11,187,92
Lokomotiv Moscow,192146,V. Ignatiev,32,1987-01-20,180,72
BK Häcken,192165,Paulinho,33,1986-04-09,174,75
CFR Cluj,192297,G. Arlauskis,31,1987-12-01,192,85
Norwich City,192449,M. Stiepermann,28,1991-02-09,190,86
CA Osasuna,192490,Juan Villar,31,1988-05-19,182,72
Standard de Liège,192537,M. Lestienne,27,1992-06-17,176,63
Nottingham Forest,192613,C. Pantilimon,32,1987-02-01,203,96
1. FC Union Berlin,192660,S. Polter,28,1991-04-01,192,94
Fulham,192725,M. Le Marchand,29,1989-10-11,185,78
Brighton & Hove Albion,192838,E. Schelotto,30,1989-05-23,187,77
Guadalajara,192930,A. Pulido,28,1991-03-08,177,83
Leeds United,192955,M. Klich,29,1990-06-13,183,82
FC Lorient,193148,V. Le Goff,29,1989-10-15,177,68
Cagliari,193267,F. Pisacane,33,1986-01-28,178,77
Beşiktaş JK,193429,Douglas,28,1990-08-06,171,60
Frosinone,193786,F. Bardi,27,1992-01-18,188,80
Atiker Konyaspor,194196,F. Diagne,29,1989-08-14,185,78
Chievo Verona,194203,N. Tomović,31,1987-08-30,184,79
Málaga CF,194365,S. Okazaki,33,1986-04-16,173,78
Girona FC,194730,Juan Carlos,31,1988-01-20,187,82
Olympiacos CFP,194947,J. Vuković,31,1988-06-10,195,93
Stade de Reims,195912,Suk Hyun Jun,28,1991-06-29,190,82
Colo-Colo,196073,E. Paredes,38,1980-08-01,178,82
Göztepe SK,196318,S. Gürler,27,1991-09-14,175,65
Cardiff City,196916,M. Pack,28,1991-03-25,188,74
AS Saint-Étienne,197688,Gabriel Silva,28,1991-05-13,179,75
Real Oviedo,197890,Arribas,30,1989-05-01,182,76
Girona FC,198143,Samu Sáiz,28,1991-01-22,174,68
Olympiacos CFP,198150,Guerrero,28,1990-07-12,181,76
Blackburn Rovers,198190,G. Cunningham,28,1991-01-31,183,70
Granada CF,198230,Germán,32,1986-10-31,187,82
Getafe CF,198240,Raul García,30,1989-04-30,175,72
Stade Brestois 29,198348,M. Autret,28,1991-03-01,179,64
1. FC Union Berlin,198554,A. Ujah,28,1990-10-14,183,81
Atlético Tucumán,198783,J. Toledo,33,1986-04-20,189,89
Angers SCO,198836,V. Pajot,28,1990-08-19,180,68
Girona FC,198843,Aday Benítez,31,1987-12-16,179,75
Levante UD,199157,Luna,28,1991-03-17,178,68
Angers SCO,199313,A. Bamba,29,1990-04-25,182,72
New York Red Bulls,199353,M. Rzatkowski,29,1990-03-02,172,66
Vitesse,199386,B. Linssen,28,1990-10-08,170,64
RCD Mallorca,199387,P. Chavarría,31,1988-01-02,185,80
Al Fateh,199392,M. Aguirregaray,30,1989-04-01,177,78
Sampdoria,199763,B. Bereszyński,26,1992-07-12,183,77
CD Everton de Viña del Mar,199940,J. Cuevas,31,1988-06-04,161,63
Deportivo de La Coruña,199977,Vicente Gómez,30,1988-08-31,188,78
Beşiktaş JK,200106,A. Özbiliz,29,1990-03-09,175,72
Deportivo Toluca,200278,S. García,30,1988-07-08,191,88
Leeds United,200443,B. Douglas,29,1989-09-04,177,70
Sporting Kansas City,200463,T. Melia,33,1986-05-15,185,86
Gençlerbirliği SK,200911,B. Stancu,32,1987-06-28,183,75
Legia Warszawa,200962,André Martins,29,1990-01-21,169,61
1. FC Nürnberg,201016,O. Sorg,29,1990-05-29,175,75
KAA Gent,201043,B. Dejaegere,28,1991-05-29,174,72
Milan,201139,I. Strinić,31,1987-07-17,186,78
SK Slavia Praha,201163,M. Frydrych,29,1990-02-27,188,83
VfL Wolfsburg,201533,P. Ntep,26,1992-07-29,180,75
Chicago Fire,201549,N. Nikolić,31,1987-12-31,180,80
Toronto FC,202035,N. Benezet,28,1991-02-24,165,60
Vitória Guimarães,202101,O. John,27,1992-05-19,179,72
FC St. Pauli,202106,M. Knoll,28,1990-12-05,186,81
Gamba Osaka,202401,Patric,31,1987-10-26,189,82
Cardiff City,202408,A. Flint,29,1989-07-11,197,83
Aston Villa,202541,Jota,28,1991-06-16,180,70
Granada CF,202646,Álex Martínez,28,1990-08-12,176,67
Benevento,203455,O. Kragl,29,1990-05-12,180,77
Argentinos Juniors,203872,G. Hauche,32,1986-11-27,168,71
Lecce,204447,F. Lucioni,31,1987-09-25,186,80
Real Valladolid CF,204526,Hervías,26,1993-03-08,174,68
Al Taawoun,204823,Nildo Petrolina,33,1986-05-01,174,77
Elche CF,204863,Iván Sánchez,26,1992-09-23,174,64
KRC Genk,204908,D. Ndongala,28,1991-06-14,170,59
Yokohama F. Marinos,205124,Edigar Junio,28,1991-05-06,174,72
Monarcas Morelia,205409,S. Sosa,32,1986-08-19,182,79
Cagliari,205553,L. Ceppitelli,29,1989-08-11,189,83
Djurgårdens IF,206022,E. Berg,30,1988-12-30,192,89
FC Nantes,206141,K. Coulibaly,27,1991-08-21,197,87
Stade de Reims,206506,T. Dingomé,28,1991-02-17,174,71
KAA Gent,206544,R. Bezus,28,1990-09-26,186,82
CA Osasuna,206651,Roberto Torres,30,1989-03-17,178,72
FC Dallas,206662,M. Hedges,29,1990-04-01,193,84
1. FC Union Berlin,207562,S. Andersson,27,1991-07-15,190,86
Club Tijuana,207653,M. Bolaños,29,1990-06-01,172,65
Universidad Católica,207935,M. Dituro,32,1987-05-08,191,90
Everton,208339,O. Niasse,29,1990-04-18,182,82
Albacete BP,208505,R. Zozulya,29,1989-11-17,180,75
FC København,208564,P. Ankersen,28,1990-09-22,179,75
Al Ittihad,209440,Romarinho,28,1990-12-12,174,69
Sporting Kansas City,209449,Gerso,28,1991-02-23,173,64
Antalyaspor,210404,S. Doukara,27,1991-09-29,186,85
Al Hilal,210602,S. Al Dawsari,27,1991-08-19,174,68
Parma,210859,V. Laurini,30,1989-06-10,173,72
Seattle Sounders FC,211017,Víctor Rodríguez,29,1989-07-23,167,65
1. FSV Mainz 05,211061,A. Maxim,28,1990-07-08,177,73
Columbus Crew SC,211119,Pedro Santos,31,1988-04-22,173,63
Atiker Konyaspor,211124,P. Hurtado,28,1990-07-27,176,72
Lecce,211302,G. Lapadula,29,1990-02-07,178,69
SD Huesca,211527,Álex Gallar,27,1992-03-19,176,71
SC Freiburg,211907,J. Gondorf,31,1988-06-26,176,81
Yeni Malatyaspor,212107,A. Jahović,32,1987-03-18,191,90
Jeonbuk Hyundai Motors,212791,Kim Seung Dae,28,1991-04-01,175,64
KAA Gent,212933,L. Depoitre,30,1988-12-07,191,91
Sagan Tosu,213061,M. Kanazaki,30,1989-02-16,180,70
Granada CF,213577,Puertas,27,1992-02-21,183,77
Al Fayha,213746,Arsénio,29,1989-08-30,180,73
Querétaro,214209,A. del Valle,30,1989-01-27,175,65
Chile,214294,E. Pavez,29,1990-05-01,180,76
Al Shabab,214388,D. Asprilla,30,1989-01-12,177,77
Junior FC,214421,F. Hinestroza,29,1990-04-05,178,70
Once Caldas,214477,A. Correa,34,1984-07-02,180,74
Amiens SC,214570,S. Mendoza,27,1992-06-27,171,70
Monterrey,214601,S. Medina,27,1992-06-14,180,69
Atlético Bucaramanga,214609,S. Cárdenas,29,1989-08-07,168,65
Gimnasia y Esgrima La Plata,214771,V. Ayala,31,1988-01-01,177,70
Club Atlético Lanús,214772,N. Pasquini,28,1991-01-02,176,76
Monarcas Morelia,215042,G. Lezcano,32,1986-11-21,168,65
Club Atlético Colón,215157,F. Lértora,28,1990-07-05,176,73
DC United,215331,L. Jara,28,1991-05-20,185,82
Hellas Verona,216079,A. Di Gaudio,29,1989-08-16,169,63
Deportes Tolima,216476,A. Plata,28,1990-11-08,173,65
FC Cincinnati,216811,K. Waston,31,1988-01-01,196,88
San Jose Earthquakes,217047,A. Godoy,29,1990-02-10,183,82
Hannover 96,217648,G. Haraguchi,28,1991-05-09,177,68
Estudiantes de La Plata,218621,F. Sánchez,29,1990-03-07,176,77
Club Atlético Banfield,219167,S. Vittor,30,1989-06-09,189,86
Club León,219787,A. Mosquera,29,1990-02-20,182,80
América de Cali,219879,M. Pisano,27,1991-12-13,166,61
Independiente Medellín,219942,D. Delgado,26,1992-07-25,185,70
Racing Club,220128,J. Cristaldo,30,1989-03-05,175,73
Perugia,220671,F. Melchiorri,32,1987-01-06,183,76
FC Dallas,221306,M. Barrios,28,1991-04-21,162,65
South Africa,222560,T. Zwane,29,1989-08-03,170,75
Club Atlético Lanús,223734,R. García Guerreño,29,1990-02-10,185,76
Club América,225356,A. Ibargüen,27,1992-05-07,168,63
Daegu FC,225733,Cesinha,29,1989-11-29,177,74
CD Tondela,226278,Xavier,26,1992-07-06,176,66
FC Nantes,226515,Andrei Girotto,27,1992-02-17,186,79
Atlético de San Luis,226772,J. Laso,28,1990-07-04,185,80
CSA - AL,230170,Jaim Abra,27,1992-02-29,188,81
Atlético Mineiro,230175,Freder Cabral,27,1992-02-29,188,83
Bahia,230198,Juli Piresinho,31,1988-02-29,180,82
Fluminense,230199,Vinicius Cardenha,27,1992-02-29,179,73
Atlético Mineiro,230222,Ailton Valpaços,27,1992-02-29,186,79
Grêmio,230259,Juliano Mascarinhas,35,1984-02-29,183,80
Internacional,230277,Gustavo Lobateiro,31,1988-02-29,180,76
Atlético Mineiro,230283,Evandro Rochedo,35,1984-02-29,187,82
Atlético Mineiro,230286,Michel Cruceiro,27,1992-02-29,185,82
Santos,230328,Pierrino Faria,31,1988-02-29,190,82
Chapecoense,230330,Nivo Serpinho,35,1984-02-29,185,78
Chapecoense,230353,Oswaldito Cuba,35,1984-02-29,170,68
Avaí FC,230361,Mauro Cildinho,35,1984-02-29,172,64
Cruzeiro,230389,Édundo Oliveira,27,1992-02-29,183,79
Botafogo,230393,Paolito Serra,27,1992-02-29,191,88
Bahia,230420,Pietrson Mendes,35,1984-02-29,173,64
Atlético Paranaense,230435,Luis Couprins,31,1988-02-29,177,72
Bahia,230446,Marcos Paneira,31,1988-02-29,182,73
Internacional,230513,Gus Outomouro,35,1984-02-29,175,73
Chapecoense,230529,Benjamin Meseira,35,1984-02-29,180,75
Dynamo Kyiv,231012,C. de Pena,27,1992-03-11,177,70
Atiker Konyaspor,231095,N. Skubic,30,1989-06-13,178,75
La Equidad,232238,C. Peralta,29,1990-02-14,178,79
Sporting de Charleroi,232294,R. Morioka,28,1991-04-12,180,79
Gamba Osaka,232441,M. Higashiguchi,33,1986-05-12,184,78
Al Ain FC,232510,T. Shiotani,30,1988-12-05,182,80
Rosario Central,232546,D. Zabala,27,1991-09-19,172,64
Amiens SC,234624,B. Dibassy,29,1989-08-11,183,74
Alanyaspor,234870,E. Karaca,29,1989-11-16,166,56
RC Strasbourg Alsace,235042,D. Liénard,31,1988-02-13,184,77
CSA - AL,236112,Douglas Armeira,27,1992-02-29,174,74
Rio Ave FC,241788,M. Taremi,26,1992-07-18,187,80
Ecuador,251693,A. Alfárnez,34,1985-04-07,182,78
Ecuador,251701,V. Sabanter,31,1987-08-20,173,72
Ecuador,251710,E. Lardero,30,1989-03-21,177,79
Vélez Sarsfield,245371,T. Almada,18,2001-04-26,171,62
FC Bayern München,234396,A. Davies,18,2000-11-02,181,72
RSC Anderlecht,246419,Y. Verschaeren,17,2001-07-12,172,63
Hertha BSC,224949,J. Dilrosun,21,1998-06-22,174,74
FC Lorient,236477,A. Claude Maurice,21,1998-06-06,174,62
LOSC Lille,239817,B. Soumaré,20,1999-02-27,188,82
Arsenal,231448,R. Nelson,19,1999-12-10,175,71
SL Benfica,234570,Jota,20,1999-03-29,175,67
Real Betis,237995,D. Lainez,19,2000-06-09,167,58
Norwich City,240060,M. Aarons,19,2000-01-04,178,73
Shakhtar Donetsk,247641,Tete,19,2000-02-15,175,67
Manchester United,232104,D. James,21,1997-11-10,170,76
Newcastle United,237161,S. Longstaff,21,1997-10-30,180,65
Inter,237383,A. Bastoni,20,1999-04-13,190,80
FC Bayern München,239744,M. Cuisance,19,1999-08-16,181,74
FCSB (Steaua),239978,D. Man,20,1998-08-26,183,82
SL Benfica,251530,Nuno Tavares,19,2000-01-26,183,76
SV Darmstadt 98,227978,M. Mehlem,21,1997-09-11,174,67
Vélez Sarsfield,231247,B. Cufré,22,1996-12-15,179,82
Norwich City,231292,J. Lewis,21,1998-01-25,177,70
Spartak Moscow,231355,Ayrton,22,1997-06-19,180,72
Chelsea,232756,F. Tomori,21,1997-12-19,185,75
FC Porto,234575,Diogo Leite,20,1999-01-23,188,73
Estudiantes de La Plata,235987,I. Gómez,22,1997-02-28,167,60
Reading,236246,O. Ejaria,21,1997-11-18,183,75
RC Strasbourg Alsace,236636,A. Caci,22,1997-07-01,184,70
Hertha BSC,236947,J. Torunarigha,21,1997-08-07,191,80
Independiente,237512,G. Togni,21,1997-09-20,173,76
Fiorentina,239732,S. Żurkowski,21,1997-09-25,185,77
Bologna,240017,A. Olsen,19,1999-12-29,188,75
VfB Stuttgart,240690,N. González,21,1998-04-06,180,72
Paris Saint-Germain,241497,C. Dagba,20,1998-09-09,170,62
Ajax,241854,P. Schuurs,19,1999-11-26,193,79
PSV,242516,C. Gakpo,20,1999-05-07,187,76
Brighton & Hove Albion,243019,T. Băluță,20,1999-03-27,191,80
Real Sociedad,246748,Aihen Muñoz,21,1997-08-16,175,72
Udinese,220048,S. Scuffet,23,1996-05-31,190,78
Napoli,220534,S. Luperto,22,1996-09-06,191,75
Club Atlético Talleres,222428,J. Komar,22,1996-08-13,189,82
Sassuolo,224422,J. Boga,22,1997-01-03,174,72
RC Celta,225106,Jorge Sáenz,22,1996-11-17,192,75
Aberdeen,225974,S. McKenna,22,1996-11-12,189,80
Sparta Praha,229793,B. Tetteh,21,1997-07-10,193,90
Milan,233926,Léo Duarte,22,1996-07-17,183,76
Portimonense SC,234119,Lucas Fernandes,21,1997-09-20,175,67
VfB Stuttgart,235073,G. Kobel,21,1997-12-06,193,90
AS Monaco,236723,F. Ballo-Touré,22,1997-01-03,182,73
Crotone,237544,L. Vido,22,1997-02-03,182,75
AEK Athens,239845,K. Galanopoulos,21,1997-12-28,172,72
FC Zürich,240099,K. Rüegg,20,1998-08-05,173,77
FC Basel 1893,240359,O. Alderete,22,1996-12-26,188,77
Villarreal CF,241856,Manu Morlanes,20,1999-01-12,178,75
Trabzonspor,243244,H. Türkmen,21,1998-01-01,183,78
Aston Villa,218659,M. Targett,23,1995-09-18,183,70
FC Red Bull Salzburg,221323,J. Onguéné,21,1997-12-22,186,78
Deportivo Alavés,224921,Adrián Marín,22,1997-01-09,181,73
CD Tondela,228738,J. Murillo,23,1995-11-21,171,66
Brescia,229448,F. Ayé,22,1997-01-19,184,75
Sampdoria,233943,Ronaldo Vieira,20,1998-07-19,178,70
Vélez Sarsfield,234178,L. Abram,23,1996-02-27,181,76
Los Angeles FC,236298,E. Atuesta,22,1997-06-18,180,71
SC Paderborn 07,238637,S. Vasiliadis,21,1997-10-04,175,75
Sparta Praha,251181,D. Lischka,21,1997-08-15,188,88
Cagliari,213829,A. Cerri,23,1996-04-16,194,91
Amiens SC,215441,S. Guirassy,23,1996-03-12,187,82
1. FSV Mainz 05,215556,E. Fernandes,23,1996-04-15,187,77
Monarcas Morelia,219087,S. Vegas,22,1996-12-04,182,80
TSG 1899 Hoffenheim,223671,S. Posch,22,1997-05-14,188,76
AEK Athens,225844,D. Verde,23,1996-06-20,168,64
LOSC Lille,226085,Léo Jardim,24,1995-03-20,188,74
SPAL,226356,M. Fares,23,1996-02-15,183,75
Rosenborg BK,227642,S. Adegbenro,23,1995-12-03,178,75
Huddersfield Town,227667,I. Mbenza,23,1996-03-08,187,77
AS Saint-Étienne,230144,A. Dioussé,21,1997-09-20,175,68
Galatasaray SK,231240,E. Mor,21,1997-07-24,169,64
Watford,231638,A. Peñaranda,22,1997-05-31,185,83
1. FC Nürnberg,233960,L. Mühl,22,1997-01-27,189,83
Club Atlético Colón,234100,G. Escobar,22,1997-03-16,171,70
OGC Nice,234333,M. Maolida,20,1999-02-14,182,76
Fortuna Düsseldorf,234787,B. Tekpetey,21,1997-09-03,172,69
New York Red Bulls,237841,M. Murillo,23,1996-02-11,183,77
VfL Wolfsburg,240193,E. Rexhbeçaj,21,1997-11-01,182,73
PAOK,240271,D. Limnios,21,1998-05-27,180,71
Romania,242614,I. Nedelcearu,23,1996-04-25,190,79
Çaykur Rizespor,244628,B. Samudio,23,1995-12-23,180,79
CA Osasuna,212261,Brandon Thomas,24,1995-02-04,173,71
Preston North End,213017,B. Davies,23,1995-08-11,185,74
Santa Clara,213917,Fábio Cardoso,25,1994-04-19,187,79
Colo-Colo,215086,B. Cortés,24,1995-05-29,185,79
SPAL,215433,F. Vicari,24,1994-08-03,190,80
Deportivo Alavés,219709,Saúl,24,1994-11-09,182,76
Bristol City,220659,J. Brownhill,23,1995-12-19,178,69
SV Zulte-Waregem,221433,O. Govea,23,1996-01-18,174,74
FC Augsburg,221860,C. Gruezo,24,1995-04-19,171,67
Toulouse Football Club,223929,A. Leya Iseka,21,1997-11-15,183,82
Guadalajara,226285,R. Gudiño,23,1996-04-22,196,92
FC Twente,228279,J. Drommel,22,1996-11-16,192,90
AS Saint-Étienne,228321,Sergi Palencia,23,1996-03-23,168,67
Deportes Tolima,229541,A. Montero,24,1995-03-29,196,85
Bologna,229574,A. Calabresi,23,1996-03-17,186,75
FC Girondins de Bordeaux,230074,E. Kwateng,22,1997-04-09,181,75
DC United,233314,R. Canouse,24,1995-06-11,177,76
SC Freiburg,234171,R. Sallai,22,1997-05-22,183,76
Stoke City,234457,O. Etebo,23,1995-11-09,176,70
Royal Antwerp FC,234710,D. Lamkel Zé,22,1996-09-17,192,78
Bologna,235149,J. Schouten,22,1997-01-12,185,72
CA Osasuna,236393,Marc Cardona,23,1995-07-08,183,70
IFK Norrköping,236823,I. Pettersson,22,1997-06-06,180,80
Stade Rennais FC,236998,J. Léa Siliki,23,1996-06-12,183,70
Racing Club,237283,N. Reniero,24,1995-03-18,183,79
Moreirense FC,237539,L. Singh,21,1997-08-05,171,63
CA Osasuna,238305,Nacho Vidal,24,1995-01-24,180,75
Sparta Praha,239808,M. Sáček,22,1996-09-19,178,69
Lazio,240988,D. Vavro,23,1996-04-10,190,76
FCSB (Steaua),242845,D. Nedelcu,22,1997-02-16,189,78
Boavista FC,243270,Heriberto Tavares,22,1997-02-19,181,66
SL Benfica,244621,Vinícius,24,1995-03-22,190,83
Montpellier HSC,246387,M. Suárez,23,1996-06-24,182,80
FC Viitorul,248106,B. de Nooijer,21,1997-11-07,186,80
Vitória Guimarães,252308,A. Musrati,23,1996-04-06,193,80
Monterrey,207984,A. González,24,1994-09-05,173,70
Pordenone,210981,A. Barison,24,1994-08-03,186,78
Standard de Liège,216349,A. Halilović,23,1996-06-18,169,69
New York City FC,219510,E. Ofori,24,1995-07-01,172,70
Santa Clara,219686,Carlos Júnior,23,1995-08-15,176,66
Toulouse Football Club,222544,E. Koulouris,23,1996-03-06,184,82
KRC Genk,222724,B. Manuel,22,1997-03-28,169,69
Hungary,223208,Z. Kalmár,24,1995-06-09,185,78
Beşiktaş JK,223749,O. Çınar,23,1996-01-29,174,70
Standard de Liège,223926,S. Bastien,22,1996-09-26,175,73
Club Brugge KV,224158,S. Amrabat,22,1996-08-21,183,84
Amiens SC,224428,J. Otero,24,1995-05-26,182,70
Birmingham City,224956,D. Crowley,21,1997-08-03,170,71
Portimonense SC,225811,M. Moreno,22,1996-09-20,171,67
Nîmes Olympique,225855,A. Bobichon,23,1995-09-14,178,75
Málaga CF,227106,Diego González,24,1995-01-28,185,83
AD Alcorcón,229948,J. Harper,23,1996-02-28,186,78
FC Twente,231433,Aitor,23,1996-02-10,177,67
SPAL,231919,A. Murgia,22,1996-08-09,185,78
Olympiacos CFP,232223,K. Tsimikas,23,1996-05-12,175,68
Sint-Truidense VV,233250,Y. Suzuki,23,1996-04-26,182,75
Club América,233493,J. Sánchez,21,1997-12-10,175,71
Granada CF,234835,Domingos Duarte,24,1995-03-03,190,78
Sporting CP,235512,Gelson Dala,22,1996-07-13,175,65
Rayo Vallecano,235781,Santi Comesaña,22,1996-10-05,184,73
Club León,237131,J. Rodríguez,23,1996-06-17,171,61
OGC Nice,237600,B. Srarfi,22,1997-06-25,176,71
Olympiacos CFP,239106,L. Koutris,23,1995-07-23,171,72
Viktoria Plzeň,251221,L. Kalvach,23,1995-07-19,183,77
Levante UD,195698,C. Doukouré,26,1992-09-11,180,82
Cardiff City,206083,J. Murphy,24,1995-02-24,173,67
Brøndby IF,207559,S. Tibbling,24,1994-09-07,175,74
Sheffield United,210985,B. Osborn,24,1994-08-05,176,75
Toulouse Football Club,211239,C. Jean,23,1995-07-15,170,66
Swansea City,212118,M. Grimes,23,1995-07-15,178,70
Rangers FC,212680,J. Jones,24,1994-10-24,174,61
Hannover 96,213777,I. Fossum,22,1996-07-15,180,73
Celtic,215970,B. Bolingoli,24,1995-07-01,180,73
Bayer 04 Leverkusen,216380,D. Sinkgraven,23,1995-07-04,179,65
KV Kortrijk,217287,J. De Sart,24,1994-12-23,186,73
Dijon FCO,218359,D. Ndong,25,1994-06-17,179,75
Udinese,219469,S. Perica,23,1995-07-07,192,80
Club Brugge KV,219736,E. Horvath,24,1995-06-09,195,83
RC Celta,219848,David Costas,24,1995-03-26,184,71
Al Hilal,220075,M. Kanno,24,1994-09-22,191,71
Cagliari,220466,F. Mattiello,23,1995-07-14,184,70
Sassuolo,221331,L. Mazzitelli,23,1995-11-15,187,76
Real Zaragoza,221923,Vigaray,24,1994-09-07,182,70
LASK Linz,221944,P. Michorl,24,1995-05-09,176,71
Amiens SC,222825,C. Akolo,24,1995-04-01,172,72
FC Red Bull Salzburg,223596,S. Prevljak,24,1995-05-10,187,80
CD Leganés,224045,Juan Muñoz,23,1995-11-12,187,78
Hamburger SV,224440,J. Pollersbeck,24,1994-08-16,195,87
Royal Excel Mouscron,225149,J. Butez,24,1995-06-08,191,83
FC Metz,225950,M. Gakpa,25,1993-11-01,182,70
Rio Ave FC,227890,Nuno Santos,24,1995-02-13,179,73
Wuhan Zall,227939,J. Kouassi,24,1994-09-25,174,67
Perth Glory,228171,C. Ikonomidis,24,1995-05-04,180,73
Shakhtar Donetsk,229526,M. Malyshev,26,1992-12-24,181,76
Birmingham City,234832,K. Pedersen,24,1994-08-04,191,83
Huddersfield Town,234924,A. Diakhaby,22,1996-07-05,184,74
Fortuna Düsseldorf,235103,N. Ampomah,23,1996-01-02,175,68
FC Lugano,237340,Carlinhos,24,1994-08-08,176,74
Genoa,238013,Jandrei,26,1993-03-01,186,76
Vélez Sarsfield,239645,M. de los Santos,26,1992-11-22,184,83
FC Dallas,239782,B. Acosta,25,1993-11-24,175,73
Dynamo Kyiv,244368,A. Besedin,23,1996-03-31,185,76
Viktoria Plzeň,244789,A. Čermák,24,1994-10-01,180,75
RC Celta,251611,G. Fernández,25,1994-05-13,186,80
Hannover 96,197031,M. Ducksch,25,1994-03-07,188,79
Fortuna Düsseldorf,199779,A. Hoffmann,26,1993-02-28,190,84
DSC Arminia Bielefeld,200159,S. Ortega,26,1992-11-06,185,88
Stoke City,201093,N. Powell,25,1994-03-23,183,65
Bristol City,201122,T. Kalas,26,1993-05-15,183,80
New England Revolution,201895,D. Fagundez,24,1995-02-14,173,64
Hannover 96,203161,M. Franke,26,1993-04-05,193,90
Fulham,204246,M. Bettinelli,27,1992-05-24,194,82
Levante UD,206238,Iván López,25,1993-08-23,175,69
